country,region,value
albania,UEFA,0.06772640150630733
algeria,CAF,1.2347043966919107
angola,CAF,-0.09898474066306458
anguilla,CONCACAF,-2.0995184466955275
argentina,CONMEBOL,1.8181933942847124
armenia,UEFA,1.3180599677765967
australia,AFC,-0.2656958828324365
austria,UEFA,0.23443754367567926
belarus,UEFA,0.40114868584505115
belgium,UEFA,1.4014155388612826
belize,CONCACAF,-1.265962735848668
benin,CAF,0.23443754367567926
bolivia,CONMEBOL,-1.099251593679296
brazil,CONMEBOL,2.0682601075387703
cameroon,CAF,-0.09898474066306458
chile,CONMEBOL,0.567859828014423
colombia,CONMEBOL,0.734570970183795
comoros,CAF,-0.2656958828324365
congo,CAF,-0.5157625960864943
croatia,UEFA,1.2347043966919107
curaçao,CONCACAF,-0.34905145391712245
cyprus,UEFA,-0.9325404515099242
denmark,UEFA,0.9846376834378529
ecuador,CONMEBOL,0.1510819725909933
egypt,CAF,0.3177931147603652
england,UEFA,1.4014155388612826
eritrea,CAF,-0.4324070250018084
estonia,UEFA,-1.5993850201874118
fiji,OFC,-0.5991181671711803
finland,UEFA,-0.09898474066306458
france,UEFA,1.7348378232000263
gabon,CAF,-0.4324070250018084
gambia,CAF,-1.43267387801804
georgia,UEFA,-0.18234031174775053
germany,UEFA,1.6514822521153405
ghana,CAF,0.40114868584505115
greece,UEFA,0.40114868584505115
guam,AFC,-0.4324070250018084
guatemala,CONCACAF,0.06772640150630733
guinea,CAF,-1.099251593679296
guinea-bissau,CAF,-0.5157625960864943
guyana,CONCACAF,-2.766363015373015
haiti,CONCACAF,-1.5993850201874118
honduras,CONCACAF,-0.2656958828324365
hungary,UEFA,0.06772640150630733
iceland,UEFA,-0.18234031174775053
iran,AFC,0.06772640150630733
iraq,AFC,-0.09898474066306458
israel,UEFA,0.1510819725909933
italy,UEFA,1.7348378232000263
jamaica,CONCACAF,-0.6824737382558662
japan,AFC,-0.015629169578378618
kenya,CAF,1.4014155388612826
kosovo,UEFA,-0.4324070250018084
latvia,UEFA,-0.8491848804252382
liechtenstein,UEFA,-1.6827405912720976
lithuania,UEFA,-0.6824737382558662
luxembourg,UEFA,-1.5993850201874118
madagascar,CAF,-1.9328073045261556
mali,CAF,0.06772640150630733
malta,UEFA,-1.7660961623567837
mauritania,CAF,-1.099251593679296
mexico,CONCACAF,0.3177931147603652
moldova,UEFA,-0.34905145391712245
montenegro,UEFA,0.06772640150630733
montserrat,CONCACAF,-0.9325404515099242
morocco,CAF,0.23443754367567926
netherlands,UEFA,1.2347043966919107
niger,CAF,0.23443754367567926
norway,UEFA,0.06772640150630733
pakistan,AFC,-0.5991181671711803
palestine,AFC,-1.099251593679296
panama,CONCACAF,-0.4324070250018084
paraguay,CONMEBOL,0.06772640150630733
poland,UEFA,0.734570970183795
portugal,UEFA,1.9015489653693984
romania,UEFA,0.40114868584505115
russia,UEFA,0.23443754367567926
senegal,CAF,0.734570970183795
serbia,UEFA,0.817926541268481
slovakia,UEFA,0.3177931147603652
slovenia,UEFA,-0.2656958828324365
spain,UEFA,2.0682601075387703
sweden,UEFA,0.40114868584505115
switzerland,UEFA,1.0679932545225388
syria,AFC,0.651215399099109
togo,CAF,-0.4324070250018084
tunisia,CAF,-1.265962735848668
turkey,UEFA,0.651215399099109
ukraine,UEFA,1.4014155388612826
uruguay,CONMEBOL,0.9846376834378529
uzbekistan,AFC,-1.7660961623567837
venezuela,CONMEBOL,-0.5991181671711803
wales,UEFA,0.40114868584505115
zambia,CAF,0.06772640150630733
zimbabwe,CAF,0.23443754367567926
