country,region,value
afghanistan,AFC,-2.3234017726383804
albania,UEFA,-1.7372136528492355
algeria,CAF,1.370472019967016
angola,CAF,1.763362623690308
antigua-and-barbuda,CONCACAF,-2.834523910423445
argentina,CONMEBOL,3.856032295110439
armenia,UEFA,0.721534407899719
aruba,CONCACAF,-3.0764144667099376
australia,AFC,-0.45453433328701764
austria,UEFA,0.7553437975667875
belarus,UEFA,-2.050721016299637
belgium,UEFA,1.6405811112951438
belize,CONCACAF,-3.7588096310208043
benin,CAF,-1.1975921422072056
bermuda,CONCACAF,-0.7214422758403761
bolivia,CONMEBOL,-2.2159625187014638
bosnia-and-herzegovina,UEFA,-0.4001922519773827
brazil,CONMEBOL,6.331151461543864
bulgaria,UEFA,-1.1551547444513368
burkina-faso,CAF,-2.5463007360808128
burundi,CAF,-2.5993960235650095
cameroon,CAF,0.9282598641607798
canada,CONCACAF,-1.0366746882896
cape-verde,CAF,-1.4007953318556936
chile,CONMEBOL,0.45914874428965174
china-pr,AFC,-0.17194267830366922
colombia,CONMEBOL,1.1093624247931926
comoros,CAF,-2.0388748103458294
costa-rica,CONCACAF,0.4968812795226686
croatia,UEFA,3.2027691296647918
cuba,CONCACAF,0.23273531854521315
curaçao,CONCACAF,-0.8874752160666279
cyprus,UEFA,-3.6747973783912893
czech-republic,UEFA,0.4851200342188791
denmark,UEFA,1.6281577598753996
dominica,CONCACAF,-3.2481854621964845
dr-congo,CAF,0.8882825160404961
ecuador,CONMEBOL,-1.553509526915492
egypt,CAF,13.040373689172757
el-salvador,CONCACAF,-1.6514523891842796
england,UEFA,4.513189486851944
equatorial-guinea,CAF,-1.627425174427319
eritrea,CAF,-1.7933053221863795
finland,UEFA,-1.9951942177315083
france,UEFA,5.018273544784451
gabon,CAF,-0.6367960061425498
gambia,CAF,-1.1554013655034483
georgia,UEFA,-0.7602465894727843
germany,UEFA,4.306827829482341
ghana,CAF,1.2757261669404971
greece,UEFA,-0.08536270003413035
grenada,CONCACAF,-2.6132057522743057
guinea,CAF,-0.09379700513692935
guinea-bissau,CAF,-1.8089081954899089
guyana,CONCACAF,-3.8736134210279203
haiti,CONCACAF,-1.8416030232414666
honduras,CONCACAF,-0.26066075418353823
hungary,UEFA,0.7808375251123185
iceland,UEFA,-1.7375602367494425
iran,AFC,1.0141860589441618
iraq,AFC,0.26641338873202747
israel,UEFA,0.8895562710431588
italy,UEFA,3.2580209675245664
ivory-coast,CAF,2.5279621524654523
jamaica,CONCACAF,0.24824707687345765
japan,AFC,0.36013795515712305
kazakhstan,UEFA,-2.14001158062175
kosovo,UEFA,-1.818873057554106
latvia,UEFA,-3.0304695039645724
liechtenstein,UEFA,-5.819257501083643
lithuania,UEFA,-2.5841625527287726
luxembourg,UEFA,-5.256717177319619
madagascar,CAF,-0.6014838886550133
malawi,CAF,-0.24411500173071515
malaysia,AFC,-0.585930679430634
mali,CAF,0.6144418456922984
mauritania,CAF,-2.8015035456455233
mexico,CONCACAF,2.2142007858645063
montenegro,UEFA,1.2088725108012803
montserrat,CONCACAF,-3.162928130936796
morocco,CAF,2.125502276256353
netherlands,UEFA,3.415332742470953
new-zealand,OFC,-1.2411151627268058
north-macedonia,UEFA,-0.5947277625983677
northern-ireland,UEFA,-2.4714803943424757
norway,UEFA,-0.819224188775217
panama,CONCACAF,-0.7735320305179849
papua-new-guinea,OFC,-2.6091328031055374
paraguay,CONMEBOL,0.7704257612154595
peru,CONMEBOL,-0.7884836551285639
poland,UEFA,1.015865441196719
portugal,UEFA,5.632063138818948
puerto-rico,CONCACAF,-2.2692007268518255
republic-of-ireland,UEFA,0.426409910002178
romania,UEFA,0.5528836996268167
russia,UEFA,2.060199870641103
saint-kitts-and-nevis,CONCACAF,0.1587912981802354
saudi-arabia,AFC,-0.5103405217597206
scotland,UEFA,0.16118358483898806
senegal,CAF,3.291311447915044
serbia,UEFA,2.090000239015478
sierra-leone,CAF,-0.8921854014208851
slovakia,UEFA,0.3363884983369103
slovenia,UEFA,-1.1489039360721298
south-africa,CAF,-0.32410714523403855
south-korea,AFC,0.8616832367042413
spain,UEFA,5.846288256595102
suriname,CONCACAF,-0.34615709911869486
sweden,UEFA,1.1386399502515765
switzerland,UEFA,1.1513175436214222
togo,CAF,-0.08702695891045836
tunisia,CAF,2.296197730491881
turkey,UEFA,0.8522353855667062
ukraine,UEFA,1.6609848007266172
united-arab-emirates,AFC,-0.3599429268475261
united-states,CONCACAF,1.3803970583653435
uruguay,CONMEBOL,3.6134672051809034
venezuela,CONMEBOL,-1.5700414167152745
wales,UEFA,-0.3867500903957304
zimbabwe,CAF,0.012220441749347555
